CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 93.121094 1594891239.7280
MEM 93.125000 1594891239.8280
MEM 93.121094 1594891239.9410
MEM 99.140625 1594891240.0410
MEM 94.074219 1594891240.1420
MEM 92.621094 1594891240.2420
MEM 92.617188 1594891240.3430
MEM 92.617188 1594891240.4510
MEM 92.621094 1594891240.5510
MEM 92.617188 1594891240.6520
MEM 95.949219 1594891240.7530
MEM 96.152344 1594891240.8530
MEM 95.496094 1594891240.9540
MEM 95.296875 1594891241.0550
MEM 94.230469 1594891241.1560
MEM 94.738281 1594891241.2570
MEM 92.617188 1594891241.3580
MEM 94.437500 1594891241.4630
MEM 97.609375 1594891241.5640
MEM 92.617188 1594891241.6980
MEM 93.125000 1594891241.7990
MEM 97.136719 1594891241.9000
MEM 95.753906 1594891242.0010
MEM 94.187500 1594891242.1020
MEM 93.128906 1594891242.2030
MEM 93.648438 1594891242.3040
MEM 93.332031 1594891242.4040
MEM 92.621094 1594891242.5230
MEM 92.625000 1594891242.6230
MEM 92.625000 1594891242.7290
MEM 98.382812 1594891242.8300
MEM 94.230469 1594891242.9310
MEM 93.132812 1594891243.0330
MEM 96.378906 1594891243.1340
MEM 99.585938 1594891243.2390
MEM 93.128906 1594891243.3400
MEM 93.128906 1594891243.4690
MEM 93.335938 1594891243.5730
MEM 92.625000 1594891243.6730
MEM 97.417969 1594891243.7740
MEM 96.199219 1594891243.8740
MEM 93.441406 1594891243.9740
MEM 93.132812 1594891244.0740
MEM 96.382812 1594891244.1750
MEM 95.882812 1594891244.2760
MEM 96.164062 1594891244.3760
MEM 95.792969 1594891244.4770
MEM 92.632812 1594891244.5770
MEM 98.386719 1594891244.6780
MEM 95.789062 1594891244.7790
MEM 96.386719 1594891244.8800
MEM 94.710938 1594891244.9800
MEM 93.140625 1594891245.0800
MEM 94.988281 1594891245.1840
MEM 93.136719 1594891245.3210
MEM 93.132812 1594891245.4220
MEM 93.136719 1594891245.5220
MEM 97.242188 1594891245.6230
MEM 93.136719 1594891245.7260
MEM 97.757812 1594891245.8270
MEM 95.042969 1594891245.9280
MEM 96.808594 1594891246.0280
MEM 94.441406 1594891246.1290
MEM 93.140625 1594891246.2290
MEM 93.136719 1594891246.3290
MEM 94.886719 1594891246.4310
MEM 93.136719 1594891246.5320
MEM 95.156250 1594891246.6330
MEM 93.136719 1594891246.7350
MEM 93.343750 1594891246.8370
MEM 92.632812 1594891246.9370
MEM 95.265625 1594891247.0380
MEM 94.531250 1594891247.1390
MEM 92.632812 1594891247.2680
MEM 96.105469 1594891247.3690
MEM 93.136719 1594891247.4740
MEM 93.140625 1594891247.5750
